"gene_name"	"n_syn"	"n_mis"	"n_non"	"n_spl"	"n_ind"	"wmis_cv"	"wnon_cv"	"wspl_cv"	"wind_cv"	"pmis_cv"	"ptrunc_cv"	"pallsubs_cv"	"pind_cv"	"qmis_cv"	"qtrunc_cv"	"qallsubs_cv"	"qind_cv"	"pglobal_cv"	"qglobal_cv"
"FRAS1"	0	0	0	0	0	0	0	0	0	0.721128793233405	0.925222664889538	0.934156363960979	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.9977831005256	0.999999999886752
"NBPF20"	0	0	0	0	0	0	0	0	0	0.727946848262055	0.902873357510543	0.934308553213373	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997793453958588	0.999999999886752
"KIAA1109"	0	0	0	0	0	0	0	0	0	0.721484316230203	0.926138264366342	0.934415063607285	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997800685113378	0.999999999886752
"CSMD2"	0	0	0	0	0	0	0	0	0	0.721410360892211	0.928335504091353	0.934618154241511	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997814439605535	0.999999999886752
"MYCBP2"	0	0	0	0	0	0	0	0	0	0.721846152923297	0.926712668000162	0.934638318105171	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997815802812516	0.999999999886752
"MYO15A"	0	0	0	0	0	0	0	0	0	0.722569896889919	0.925851520647813	0.934865671321919	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99783114325111	0.999999999886752
"DNAH8"	0	0	0	0	0	0	0	0	0	0.725007996267758	0.91939498116815	0.935202062459635	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997853739496404	0.999999999886752
"DNAH3"	0	0	0	0	0	0	0	0	0	0.723115630956438	0.927574975006786	0.935293798260815	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997859880622934	0.999999999886752
"APOB"	0	0	0	0	0	0	0	0	0	0.72080383166812	0.938701793168572	0.935364634988958	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997864616533423	0.999999999886752
"CDH23"	0	0	0	0	0	0	0	0	0	0.722511590556077	0.93185317956177	0.9354704272624	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997871679468132	0.999999999886752
"PCLO"	0	0	0	0	0	0	0	0	0	0.720888087960446	0.942671743181938	0.935749585586835	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997890259283904	0.999999999886752
"LRP1B"	0	0	0	0	0	0	0	0	0	0.727272719487614	0.922725120312458	0.93658038350065	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.997945061692971	0.999999999886752
"PKHD1"	0	0	0	0	0	0	0	0	0	0.728768994786088	0.931231778968476	0.938149563683662	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998046560467033	0.999999999886752
"PRKDC"	0	0	0	0	0	0	0	0	0	0.731593298272814	0.922817554936723	0.938455138501302	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99806602040355	0.999999999886752
"CELSR3"	0	0	0	0	0	0	0	0	0	0.72699201320138	0.946122767856337	0.938728451047884	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998083341482653	0.999999999886752
"SPEG"	0	0	0	0	0	0	0	0	0	0.728844647992818	0.942601302782496	0.939244351003435	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998115819600571	0.999999999886752
"CELSR1"	0	0	0	0	0	0	0	0	0	0.728762316117524	0.94538617761805	0.939439557763016	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99812803480004	0.999999999886752
"ZFHX3"	0	0	0	0	0	0	0	0	0	0.729138028585021	0.953421662962486	0.940204221193774	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998175493581221	0.999999999886752
"ANK3"	0	0	0	0	0	0	0	0	0	0.731993257566316	0.940037139635084	0.940377474025756	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998186160072116	0.999999999886752
"CSMD1"	0	0	0	0	0	0	0	0	0	0.737102645032955	0.928070999369395	0.941369730342281	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.9982466346392	0.999999999886752
"SZT2"	0	0	0	0	0	0	0	0	0	0.736473361411208	0.931640494576301	0.94147784570558	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998253160686014	0.999999999886752
"DNAH14"	0	0	0	0	0	0	0	0	0	0.737840342999227	0.926304626440656	0.941487102660105	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998253718876168	0.999999999886752
"SACS"	0	0	0	0	0	0	0	0	0	0.733979609069968	0.944715075258177	0.941624405236073	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.998261987472809	0.999999999886752
"DNAH6"	0	0	0	0	0	0	0	0	0	0.739185271478421	0.925939941981763	0.942007303371227	1	0.978013717198274	0.998104353529444	0.99998495022595	1	0.99828494049839	0.999999999886752
